Time,Category,prin
1-Oct-13,8,9714.285714
1-Oct-13,9,22300
1-Oct-13,11,9750
1-Oct-13,12,14833.33333
1-Oct-13,13,9554.081967
1-Oct-13,14,10447.36842
1-Oct-13,15,12212.49365
1-Oct-13,16,5166.666667
1-Oct-13,17,0
1-Oct-13,18,11122.523
1-Oct-13,19,8611.111111
1-Oct-13,20,8291.722222
1-Jan-14,0,0
1-Jan-14,1,12205.949
1-Jan-14,2,13188.1516
1-Jan-14,3,13103.32652
1-Jan-14,6,11089.28571
1-Jan-14,7,10410.44776
1-Jan-14,8,15750
1-Jan-14,9,11500
1-Jan-14,11,7500
1-Jan-14,12,4000
1-Jan-14,13,9006.825517
1-Jan-14,14,7112.5
1-Jan-14,15,10227.65957
1-Jan-14,16,8133.333333
1-Jan-14,17,5000
1-Jan-14,18,10823.07692
1-Jan-14,19,7899.780588
1-Jan-14,20,10192.5
